aktualnego;aktua1nego
algebraicznego;a1gebraicznego
arytmetyczną;arytmetycznq
bananów;bananow
biała;biafa
biała;biala
biała;bia1a
białe;biale
białe;bia1e
białe;biafe
białej;bialej
białej;bia1ej
białej;biafej
białych;biafych
białych;bialych
białych;bia1ych
białą;bialq
białą;biafą
białą;bia1q
białą;bialą
białą;bia1ą
białą;bia1a
białą;biafa
białą;biala
białą;biafq
białą;białq
boków;bokow
bryły;bry1y
bryły;bryfy
bryły;bryly
brzegów;brzegow
była;byfa
była;by1a
była;byla
były;by1y
były;byfy
były;byly
będą;będq
będą;będa
będą;bedq
całkowite;ca1kowite
całkowite;calkowite
całkowite;cafkowite
całkowitej;ca1kowitej
całkowitej;calkowitej
całkowitej;cafkowitej
celsjusza;ce1sjusza
cenę;cene
chwili;chwi1i
ciąg;ciag
ciąg;ciqg
ciągu;ciqgu
ciągu;ciagu
cięciwy;cieciwy
ciężarówka;cieżarowka
ciężarówka;ciezarowka
ciężarówka;ciężarowka
ciężarówka;ciezarówka
ciężarówka;cieżarówka
ciężarówka;cięzarowka
ciężarówka;cięzarówka
ciężarówką;ciezarówka
ciężarówką;cieżarówką
ciężarówką;ciężarówkq
ciężarówką;cieżarówka
ciężarówką;ciezarowkq
ciężarówką;cięzarowkq
ciężarówką;ciężarowkq
ciężarówką;cięzarówką
ciężarówką;ciezarówkq
ciężarówką;cięzarówka
ciężarówką;ciezarówką
ciężarówką;cieżarowkq
ciężarówką;cieżarowka
ciężarówką;cieżarówkq
ciężarówką;ciezarowka
ciężarówką;cięzarówkq
ciężarówką;ciężarowką
ciężarówką;cieżarowką
ciężarówką;ciezarowką
ciężarówką;cięzarowką
ciężarówką;ciężarowka
ciężarówką;cięzarowka
cyfrę;cyfre
czworokącie;czworokacie
czworokącie;czworokqcie
czworokąt;czworokat
czworokąt;czworokqt
czworokąta;czworokata
czworokąta;czworokqta
czworokątnego;czworokqtnego
czworokątnego;czworokatnego
czworościanie;czworoscianie
czworościanu;czworoscianu
cząsteczek;czqsteczek
cząsteczek;czasteczek
części;czesci
części;częsci
części;cześci
dodatnią;dodatniq
dojrzewać;dojrzewac
dokładamy;dokfadamy
dokładamy;dok1adamy
dokładamy;dokladamy
dokładnie;dok1adnie
dokładnie;dokladnie
dokładnie;dokfadnie
dotarł;dotarl
dotarł;dotarf
dotarł;dotar1
dowolnych;dowo1nych
doświadczeniu;doswiadczeniu
drugą;drugq
dwóch;dwoch
dziedzinę;dziedzine
dzielenia;dzie1enia
dzieli;dzie1i
dzielonego;dzie1onego
dziesiętnego;dziesietnego
dziesiętnym;dziesietnym
dzięki;dzieki
długości;dlugosci
długości;d1ugosci
długości;długosci
długości;d1ugości
długości;dfugości
długości;dfugosci
długości;dlugości
długość;d1ugość
długość;d1ugosć
długość;d1ugośc
długość;dfugość
długość;dlugosc
długość;dfugosc
długość;d1ugosc
długość;dlugość
długość;dlugośc
długość;dfugosć
długość;dlugosć
długość;dfugośc
długość;długośc
długość;długosc
długość;długosć
dłuższy;dłuzszy
dłuższy;d1uższy
dłuższy;dluższy
dłuższy;dluzszy
dłuższy;dfuzszy
dłuższy;d1uzszy
dłuższy;dfuższy
dłuższych;dłuzszych
dłuższych;d1uższych
dłuższych;dluzszych
dłuższych;dluższych
dłuższych;d1uzszych
dłuższych;dfuzszych
dłuższych;dfuższych
filiżanka;filizanka
filiżanka;fi1iżanka
filiżanka;fi1izanka
godzinę;godzine
gorącą;goracq
gorącą;goraca
gorącą;gorqcą
gorącą;gorqca
gorącą;goracą
gorącą;gorqcq
gorącą;gorącq
graficzną;graficznq
graniastosłup;graniastosfup
graniastosłup;graniastos1up
graniastosłup;graniastoslup
graniastosłupa;graniastoslupa
graniastosłupa;graniastosfupa
graniastosłupa;graniastos1upa
graniastosłupy;graniastoslupy
graniastosłupy;graniastos1upy
graniastosłupy;graniastosfupy
graniastosłupów;graniastosłupow
graniastosłupów;graniastos1upów
graniastosłupów;graniastos1upow
graniastosłupów;graniastoslupow
graniastosłupów;graniastoslupów
graniastosłupów;graniastosfupów
graniastosłupów;graniastosfupow
iloczyn;i1oczyn
inną;innq
istnieją;istnieja
istnieją;istniejq
jadąc;jadqc
jadąc;jadac
jakakolwiek;jakako1wiek
jaką;jakq
jechał;jechal
jechał;jechaf
jechał;jecha1
jednocześnie;jednoczesnie
jednokładności;jednokladnosci
jednokładności;jednok1adności
jednokładności;jednokładnosci
jednokładności;jednokfadności
jednokładności;jednokladności
jednokładności;jednok1adnosci
jednokładności;jednokfadnosci
jedności;jednosci
jedną;jednq
jeśli;jeś1i
jeśli;jes1i
jeśli;jesli
jeżeli;jeze1i
jeżeli;jeże1i
jeżeli;jezeli
kartezjańskim;kartezjanskim
kawą;kawq
każda;kazda
każde;kazde
każdego;kazdego
każdej;kazdej
każdy;kazdy
każdych;kazdych
każdą;kazda
każdą;kazdq
każdą;każdq
każdą;kazdą
kilometrów;ki1ometrow
kilometrów;kilometrow
kilometrów;ki1ometrów
kolejnej;ko1ejnej
kolejno;ko1ejno
kolejności;kolejnosci
kolejności;ko1ejności
kolejności;ko1ejnosci
kolejnych;ko1ejnych
kolejnymi;ko1ejnymi
kolejowej;ko1ejowej
kolorem;ko1orem
koloru;ko1oru
kontroli;kontro1i
korzystając;korzystajqc
korzystając;korzystajac
kostką;kostkq
kowalski;kowa1ski
końcach;koncach
kończy;konczy
krawędzi;krawedzi
krawędzie;krawedzie
krawędź;krawędz
krawędź;krawedź
krawędź;krawedz
krótszych;krotszych
która;ktora
które;ktore
którego;ktorego
której;ktorej
który;ktory
których;ktorych
którym;ktorym
kula;ku1a
kulami;ku1ami
kule;ku1e
kuli;ku1i
kulę;ku1e
kulę;ku1ę
kwadratów;kwadratow
kąta;kqta
kąty;kqty
kątów;kqtow
kątów;katow
kątów;kątow
kątów;kqtów
lewej;1ewej
lewy;1ewy
leży;1ezy
leży;1eży
leżą;leżq
leżą;1eżq
leżą;1ezq
leżą;1eza
leżą;1eżą
leżą;lezq
leżą;1eża
leżą;1ezą
liczb;1iczb
liczba;1iczba
liczbami;1iczbami
liczbowy;1iczbowy
liczby;1iczby
liczbą;1iczba
liczbą;1iczbą
liczbą;1iczbq
liczbą;liczbq
liczbę;liczbe
liczbę;1iczbe
liczbę;1iczbę
liczony;1iczony
liczy;1iczy
liczymy;1iczymy
licząc;1iczqc
licząc;liczqc
licząc;1icząc
licząc;liczac
licząc;1iczac
linii;1inii
logarytmicznej;1ogarytmicznej
losowo;1osowo
losujemy;1osujemy
mają;majq
masę;mase
miarę;miare
miejscowości;miejscowosci
mieć;miec
mleczarskim;m1eczarskim
możliwe;moz1iwe
możliwe;mozliwe
możliwe;moż1iwe
można;mozna
nadjeżdża;nadjezdża
nadjeżdża;nadjezdza
nadjeżdża;nadjeżdza
najkrótszego;najkrotszego
najmniejszą;najmniejszq
największa;najwieksza
największe;najwieksze
największą;największq
największą;najwiekszą
największą;najwiekszq
największą;najwieksza
najwyżej;najwyzej
należy;na1eży
należy;nalezy
należy;na1ezy
naliczane;na1iczane
narysować;narysowac
następnie;nastepnie
następnych;nastepnych
następująco;następujqco
następująco;nastepujqco
następująco;nastepująco
następująco;następujaco
następująco;nastepujaco
naturalne;natura1ne
naturalnej;natura1nej
naturalnych;natura1nych
naturalnymi;natura1nymi
nierówność;nierównosć
nierówność;nierownosć
nierówność;nierównośc
nierówność;nierowność
nierówność;nierownosc
nierówność;nierownośc
nierówność;nierównosc
nieskończonego;nieskonczonego
nieskończony;nieskonczony
nieskracalnego;nieskraca1nego
niewiadomą;niewiadomq
niewymierności;niewymiernosci
numerów;numerow
objętości;objetosci
objętości;objętosci
objętości;objetości
objętość;objętosc
objętość;objetośc
objętość;objetość
objętość;objetosc
objętość;objętośc
objętość;objętosć
objętość;objetosć
oblicz;ob1icz
obliczenia;ob1iczenia
obliczyć;ob1iczyc
obliczyć;ob1iczyć
obliczyć;obliczyc
obniżka;obnizka
obniżył;obniżyf
obniżył;obnizył
obniżył;obniżyl
obniżył;obniży1
obniżył;obnizyf
obniżył;obnizyl
obniżył;obnizy1
obwód;obwod
odcinków;odcinkow
odległości;odleg1ości
odległości;odleglości
odległości;od1eg1ości
odległości;od1egfości
odległości;odleg1osci
odległości;odległosci
odległości;odlegfości
odległości;od1egłości
odległości;odleglosci
odległości;od1egfosci
odległości;od1eglosci
odległości;od1eglości
odległości;od1eg1osci
odległości;odlegfosci
odległości;od1egłosci
odległość;od1eglosc
odległość;od1egfośc
odległość;odleglosć
odległość;odlegfosć
odległość;odlegfość
odległość;od1eglość
odległość;odleglosc
odległość;od1egfosć
odległość;od1eglosć
odległość;odleg1ośc
odległość;od1eg1osc
odległość;od1eglośc
odległość;od1egłosć
odległość;odleg1ość
odległość;od1eg1ość
odległość;odległosć
odległość;odleg1osc
odległość;od1egfość
odległość;od1egłość
odległość;odległosc
odległość;odleglość
odległość;od1egłosc
odległość;odleglośc
odległość;odległośc
odległość;od1eg1ośc
odległość;odlegfosc
odległość;od1egfosc
odległość;odleg1osć
odległość;od1eg1osć
odległość;od1egłośc
odległość;odlegfośc
odległych;odleglych
odległych;odlegfych
odległych;od1eglych
odległych;odleg1ych
odległych;od1egłych
odległych;od1egfych
odległych;od1eg1ych
odstęp;odstep
odwrotności;odwrotnosci
ogólnie;ogolnie
ogólnie;ogo1nie
ogólnie;ogó1nie
określa;okreś1a
określa;okres1a
określa;okresla
określającej;określajacej
określającej;okres1ajqcej
określającej;okreś1ajacej
określającej;okreslajqcej
określającej;okreś1ającej
określającej;okres1ającej
określającej;okreś1ajqcej
określającej;okreslającej
określającej;określajqcej
określającej;okreslajacej
określającej;okres1ajacej
określamy;okreslamy
określamy;okreś1amy
określamy;okres1amy
określona;okreś1ona
określona;okres1ona
określona;okreslona
określone;okreslone
określone;okreś1one
określone;okres1one
określonego;okres1onego
określonego;okreś1onego
określonego;okreslonego
określonej;okreslonej
określonej;okres1onej
określonej;okreś1onej
określony;okres1ony
określony;okreslony
określony;okreś1ony
określonych;okreslonych
określonych;okreś1onych
określonych;okres1onych
okrąg;okrag
okrąg;okrqg
okręgi;okregi
okręgu;okregu
okręgów;okregów
okręgów;okregow
okręgów;okręgow
opakowań;opakowan
opisać;opisac
oprocentowaną;oprocentowanq
ostrokątnym;ostrokatnym
ostrokątnym;ostrokqtnym
ostrosłup;ostros1up
ostrosłup;ostroslup
ostrosłup;ostrosfup
ostrosłupa;ostros1upa
ostrosłupa;ostroslupa
ostrosłupa;ostrosfupa
ostrosłupie;ostros1upie
ostrosłupie;ostrosfupie
ostrosłupie;ostroslupie
ostygła;ostygfa
ostygła;ostygla
ostygła;ostyg1a
owoców;owocow
parabola;parabo1a
paraboli;parabo1i
parabolę;parabo1ę
parabolę;parabo1e
pełnych;pe1nych
pełnych;pelnych
pełnych;pefnych
pierwiastków;pierwiastkow
pierwszą;pierwszq
pięciu;pieciu
pięć;pięc
pięć;pieć
piłeczek;pi1eczek
piłeczek;pileczek
piłeczek;pifeczek
piłeczkę;pileczkę
piłeczkę;piłeczke
piłeczkę;pi1eczkę
piłeczkę;pi1eczke
piłeczkę;pileczke
piłeczkę;pifeczke
piłeczkę;pifeczkę
pociąg;pociag
pociąg;pociqg
pociągu;pociqgu
pociągu;pociagu
początkowa;poczqtkowa
początkowa;poczatkowa
początkowej;poczqtkowej
początkowej;poczatkowej
początkowo;poczqtkowo
początkowo;poczatkowo
początkowych;poczqtkowych
początkowych;poczatkowych
początku;poczqtku
początku;poczatku
podać;podac
podstawą;podstawq
podzielna;podzie1na
podzielny;podzie1ny
pola;po1a
pole;po1e
polegającego;po1egajacego
polegającego;po1egającego
polegającego;polegajqcego
polegającego;po1egajqcego
polegającego;polegajacego
polu;po1u
ponieważ;poniewaz
poniżej;ponizej
poniższe;ponizsze
poprowadzoną;poprowadzonq
poruszają;poruszaja
poruszają;poruszajq
porównaniu;porownaniu
postanowili;postanowi1i
posługując;pos1ugujqc
posługując;posługujac
posługując;posfugujac
posługując;pos1ugujac
posługując;posfugując
posługując;posługujqc
posługując;pos1ugując
posługując;poslugujqc
posługując;poslugujac
posługując;posfugujqc
posługując;poslugując
potęg;poteg
powracając;powracajac
powracając;powracajqc
powyżej;powyzej
pozostałe;pozostale
pozostałe;pozostafe
pozostałe;pozosta1e
pozostałych;pozostafych
pozostałych;pozosta1ych
pozostałych;pozostalych
pozwoliła;pozwoli1a
pozwoliła;pozwo1i1a
pozwoliła;pozwo1ila
pozwoliła;pozwolifa
pozwoliła;pozwolila
pozwoliła;pozwo1ifa
pozwoliła;pozwo1iła
pożyczki;pozyczki
pożyczkę;pozyczke
pożyczkę;pozyczkę
pożyczkę;pożyczke
prawdopodobieństwo;prawdopodobienstwo
prawidłowe;prawid1owe
prawidłowe;prawidlowe
prawidłowe;prawidfowe
promień;promien
prostokątnego;prostokqtnego
prostokątnego;prostokatnego
prostokątnej;prostokatnej
prostokątnej;prostokqtnej
prostokątny;prostokqtny
prostokątny;prostokatny
prostopadła;prostopadfa
prostopadła;prostopadla
prostopadła;prostopad1a
prostą;prostq
przechodzącego;przechodzqcego
przechodzącego;przechodzacego
przechodzącej;przechodzqcej
przechodzącej;przechodzacej
przecinają;przecinajq
przecinają;przecinaja
przecięcia;przeciecia
przedstawić;przedstawic
przedziale;przedzia1e
przekształceniu;przekszta1ceniu
przekształceniu;przeksztafceniu
przekształceniu;przeksztalceniu
przekształcić;przeksztalcić
przekształcić;przekształcic
przekształcić;przekszta1cic
przekształcić;przeksztafcić
przekształcić;przeksztafcic
przekształcić;przeksztalcic
przekształcić;przekszta1cić
przekątna;przekqtna
przekątna;przekatna
przekątne;przekatne
przekątne;przekqtne
przekątnej;przekqtnej
przekątnej;przekatnej
przekątnych;przekatnych
przekątnych;przekqtnych
przekładamy;przekfadamy
przekładamy;przek1adamy
przekładamy;przekladamy
prędkości;prędkosci
prędkości;predkości
prędkości;predkosci
prędkościami;prędkosciami
prędkościami;predkościami
prędkościami;predkosciami
prędkością;predkością
prędkością;predkościa
prędkością;predkosciq
prędkością;predkoscia
prędkością;prędkoscią
prędkością;prędkościq
prędkością;predkościq
prędkością;prędkosciq
prędkością;prędkoscia
prędkością;prędkościa
prędkością;predkoscią
prędkość;prędkosc
prędkość;predkośc
prędkość;prędkośc
prędkość;predkosć
prędkość;predkosc
prędkość;prędkosć
prędkość;predkość
pudełku;pude1ku
pudełku;pudefku
punktów;punktow
płaszczyzna;p1aszczyzna
płaszczyzna;plaszczyzna
płaszczyzna;pfaszczyzna
płaszczyzny;pfaszczyzny
płaszczyzny;p1aszczyzny
płaszczyzny;plaszczyzny
płaszczyzną;płaszczyznq
płaszczyzną;p1aszczyzną
płaszczyzną;p1aszczyzna
płaszczyzną;pfaszczyzna
płaszczyzną;p1aszczyznq
płaszczyzną;plaszczyzną
płaszczyzną;pfaszczyznq
płaszczyzną;plaszczyzna
