Ob1icz;Oblicz
1at;lat
najmfodszego;najmłodszego
ch1opca;chłopca
najm1odszy;najmłodszy
Wykaz;Wykaż
róznica;różnica
sprzedaf;sprzedał
zalozonej;zalożonej
Poniewaz;Ponieważ
obnizył;obniżył
wykaz;wykaż
Wjakiej;W jakiej
ż eby;żeby
rozpoczęfy;rozpoczęły
Dlajakich;Dla jakich
nia;nią
nalez y;należy
prostopadlymi;prostopadłymi
wyznaczyćjej;wyznaczyć jej
l,;1,
ukfad;układ
nalezący;należący
pracowafby;pracowałby
podjęfo;podjęło
ulegfa;uległa
następujace;następujące
dluzsza;dluższa
Wykaz$\cdot,$;Wykaż
stęzeniach;stężeniach
krzesla;krzesła
lącznej;łącznej
sa1i;sali
zajeciu;zajęciu
okazafa;okazała
powyzszymi;powyższymi
druzyny;drużyny
ż ofędzi;żołędzi
załozył;założył
spefnione;spełnione
przyjaciól;przyjaciół
zgfosifo;zgłosiło
mógf;mógł
zaplacić;zapłacić
I1e;Ile
lezą;leżą
wyruszajq;wyruszają
równoleglych;równoległych
wyjezdza;wyjeżdza
wyjez dż ający;wyjezdżający
uplywie;upływie
sa;są
przedzialu;przedziału
pieciocyfrowa;pięciocyfrowa
wyjeżdza;wyjeżdża
wyjezdżający;wyjeżdżający
przyjez dż ado;przyjeżdża do
napefnić;napełnić
napelnić;napełnić
dłuzszym;dłuższym
dłuzszym;dłuższym
przyjezdża;przyjeżdża
minęly;minęły
lodzi;łodzi
najakie;na jakie
. jeż eli;. Jeżeli
można na wpisać;można wpisać
zk tów;z kątów
trójk ta;trójkąta
ż olędzi;żołędzi
każ da;każda
ż ołędzi;żołędzi
Wyznaczjej;Wyznacz jej
ż ejezeli;że jeżeli
leż ą;leżą
każ dą;każdą
ijaki;i jaki
osiagnąf;osiagnął
nty;n-ty
mi dzy;między
widać ja;widać ją
znajd ź;znajdź
prostątak;prostą tak
rysnuek;rysunek
krawedz';krawedź
jeż eli;jeżeli
można na w;można w
przyjętajest;przyjęta jest
Wrocfaw;Wrocław
WarszawaWrocław;Warszawa - Wrocław
WarszawaWrocfaw;Warszawa - Wrocław
można liwe;możliwe
gatunekjest;gatunek jest
loteriijest;loterii jest
Jakiejest;Jakie jest
sięjeszcze;się jeszcze
dlajakich;dla jakich
nia;nią
najednej;na jednej
ijest;i jest
przecinaj ą;przecinają
